id,Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
0,37,70,36,Clayey,Sugarcane,36,4,5,28-28
1,27,69,65,Sandy,Millets,30,6,18,28-28
2,29,63,32,Sandy,Millets,24,12,16,17-17-17
3,35,62,54,Sandy,Barley,39,12,4,10-26-26
4,35,58,43,Red,Paddy,37,2,16,DAP
5,30,59,29,Red,Pulses,10,0,9,20-20
6,27,62,53,Sandy,Paddy,26,15,22,28-28
7,36,62,44,Red,Pulses,30,12,35,14-35-14
8,36,51,32,Loamy,Tobacco,19,17,29,17-17-17
9,28,50,35,Red,Tobacco,25,12,16,20-20
10,32,61,60,Loamy,Tobacco,18,3,2,17-17-17
11,38,60,27,Clayey,Sugarcane,34,19,12,20-20
12,26,69,42,Sandy,Pulses,42,12,19,10-26-26
13,30,60,57,Clayey,Millets,41,6,39,10-26-26
14,36,60,44,Sandy,Paddy,15,3,30,20-20
15,34,57,47,Black,Barley,18,16,32,10-26-26
16,30,63,50,Loamy,Ground Nuts,4,1,19,28-28
17,29,57,56,Red,Maize,8,12,34,14-35-14
18,27,70,43,Sandy,Millets,19,13,40,17-17-17
19,25,72,33,Clayey,Millets,6,7,32,20-20
20,26,63,37,Sandy,Paddy,39,1,28,Urea
21,26,70,49,Red,Sugarcane,31,9,18,Urea
22,33,60,60,Red,Sugarcane,29,7,33,10-26-26
23,30,68,49,Clayey,Cotton,36,16,29,28-28
24,30,55,53,Sandy,Paddy,20,19,12,28-28
25,26,68,54,Loamy,Tobacco,41,15,33,20-20
26,26,52,35,Black,Wheat,28,14,0,20-20
27,26,55,39,Sandy,Paddy,15,2,7,17-17-17
28,32,55,30,Loamy,Oil seeds,10,7,13,17-17-17
29,37,69,57,Clayey,Millets,17,8,24,DAP
30,27,57,43,Sandy,Maize,8,15,28,20-20
31,29,60,46,Loamy,Pulses,27,14,21,10-26-26
32,30,64,37,Clayey,Wheat,10,18,27,20-20
33,38,55,29,Clayey,Cotton,7,11,40,14-35-14
34,31,64,61,Black,Oil seeds,15,3,21,14-35-14
35,27,71,64,Loamy,Tobacco,12,5,2,17-17-17
36,27,56,26,Black,Cotton,27,5,0,10-26-26
37,27,50,42,Clayey,Pulses,29,1,5,DAP
38,32,57,35,Black,Paddy,6,15,21,14-35-14
39,34,60,32,Clayey,Barley,31,7,17,Urea
40,29,51,47,Black,Oil seeds,14,3,26,10-26-26
41,33,51,30,Loamy,Pulses,25,7,1,17-17-17
42,37,59,34,Clayey,Ground Nuts,39,17,19,14-35-14
43,37,69,32,Clayey,Tobacco,25,13,19,DAP
44,26,52,56,Sandy,Paddy,19,14,30,DAP
45,28,66,33,Clayey,Ground Nuts,26,4,17,17-17-17
46,25,62,33,Sandy,Maize,35,2,1,28-28
47,28,54,56,Red,Wheat,33,3,36,17-17-17
48,31,65,47,Loamy,Wheat,9,17,1,17-17-17
49,34,67,29,Red,Paddy,25,3,29,10-26-26
50,28,68,39,Sandy,Paddy,16,0,23,20-20
51,27,61,51,Red,Sugarcane,10,11,16,DAP
52,28,61,65,Red,Paddy,40,10,21,Urea
53,29,56,56,Sandy,Sugarcane,34,2,7,10-26-26
54,32,60,53,Loamy,Paddy,29,7,39,Urea
55,27,60,48,Red,Ground Nuts,8,5,2,14-35-14
56,29,60,28,Sandy,Paddy,15,19,7,10-26-26
57,27,54,64,Clayey,Cotton,7,2,11,DAP
58,38,66,32,Loamy,Wheat,27,0,23,10-26-26
59,33,52,64,Black,Barley,6,19,21,28-28
60,34,60,64,Red,Paddy,36,6,1,DAP
61,37,57,38,Loamy,Maize,20,17,11,DAP
62,28,54,57,Black,Millets,9,5,10,DAP
63,35,67,65,Red,Maize,18,18,39,17-17-17
64,30,60,36,Clayey,Sugarcane,17,12,20,20-20
65,26,59,42,Loamy,Maize,42,17,10,10-26-26
66,36,51,52,Loamy,Maize,20,9,18,DAP
67,29,50,26,Black,Paddy,19,0,11,20-20
68,35,66,27,Clayey,Millets,16,10,15,17-17-17
69,28,55,62,Loamy,Cotton,27,19,11,14-35-14
70,28,64,44,Clayey,Cotton,28,10,41,DAP
71,36,60,38,Red,Tobacco,21,11,23,14-35-14
72,36,57,55,Black,Paddy,24,17,5,DAP
73,29,62,51,Loamy,Sugarcane,31,1,19,28-28
74,37,63,48,Loamy,Cotton,33,16,28,14-35-14
75,37,51,44,Sandy,Oil seeds,18,17,11,14-35-14
76,33,65,54,Red,Oil seeds,23,4,29,14-35-14
77,38,67,53,Clayey,Paddy,29,7,15,17-17-17
78,37,60,54,Black,Millets,17,12,4,17-17-17
79,27,71,56,Clayey,Cotton,8,1,24,17-17-17
80,28,50,54,Red,Sugarcane,32,8,32,20-20
81,36,65,51,Loamy,Ground Nuts,15,17,3,17-17-17
82,38,63,64,Black,Ground Nuts,6,16,31,20-20
83,36,69,40,Clayey,Pulses,10,4,39,20-20
84,35,50,25,Clayey,Tobacco,26,4,16,17-17-17
85,30,69,25,Clayey,Cotton,16,19,17,20-20
86,38,54,59,Loamy,Maize,27,10,9,17-17-17
87,31,68,53,Red,Barley,36,5,40,10-26-26
88,36,56,32,Loamy,Tobacco,4,4,12,Urea
89,34,59,40,Sandy,Wheat,22,12,34,14-35-14
90,37,62,50,Black,Tobacco,4,11,4,28-28
91,33,68,27,Loamy,Barley,21,9,11,14-35-14
92,31,51,51,Clayey,Sugarcane,4,6,40,14-35-14
93,25,63,44,Red,Wheat,32,10,3,10-26-26
94,34,52,55,Loamy,Barley,18,13,10,20-20
95,30,62,62,Red,Oil seeds,11,18,6,DAP
